frame,track,u,v
0,0,0.0703,0.3163
0,1,None,None
0,2,None,None
0,3,None,None
1,0,0.1071,0.3746
1,1,0.1325,0.1618
1,2,None,None
1,3,None,None
2,0,0.1694,0.4534
2,1,0.1809,0.191
2,2,0.4205,0.0977
2,3,None,None
3,0,0.22,0.57
3,1,0.2408,0.2755
3,2,0.5081,0.1618
3,3,None,None
4,0,0.2938,0.6429
4,1,0.3007,0.3222
4,2,0.5703,0.2201
4,3,None,None
5,0,0.3445,0.7157
5,1,0.3767,0.4184
5,2,0.6555,0.2988
5,3,None,None
6,0,None,None
6,1,0.4459,0.4767
6,2,0.7247,0.3688
6,3,0.4297,0.8149
7,0,None,None
7,1,None,None
7,2,None,None
7,3,0.485,0.8703
